carat,depth,table,price,'x','y','z',cut_Fair,cut_Good,cut_Ideal,cut_Prem,cut_V_good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.39,62.4,56,1009,4.68,4.64,2.91,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.39,60.9,59,1009,4.74,4.69,2.87,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,58,63,1009,5.22,5.19,3.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.7,59,1010,4.45,4.43,2.74,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.32,62.2,55,1010,4.38,4.4,2.73,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.4,62.5,55,1010,4.73,4.77,2.97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,62.2,62,1010,4.68,4.71,2.92,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.38,61.3,56.2,1010,4.69,4.71,2.88,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.38,62.1,54.6,1010,4.65,4.69,2.9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.38,61.7,55.4,1010,4.66,4.68,2.88,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.38,62,54.1,1010,4.66,4.68,2.9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.32,61.3,55,1010,4.41,4.43,2.71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,61.5,56,1010,4.41,4.44,2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,61,57,1010,4.74,4.77,2.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.3,63.5,58,1010,4.31,4.23,2.71,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.33,62.9,58,1010,4.43,4.38,2.77,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.39,62,56,1010,4.72,4.64,2.9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.37,62.2,58,1010,4.6,4.56,2.85,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.35,54.6,59,1011,4.85,4.79,2.63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.35,53.2,62,1011,4.87,4.8,2.57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.55,59.8,59,1011,5.33,5.3,3.18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.5,61.2,56,1011,5.13,5.17,3.15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.41,61.5,55,1011,4.81,4.79,2.95,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.39,63.3,55,1011,4.66,4.63,2.94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.49,59.9,59,1011,5.17,5.12,3.08,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.31,59.7,58,1011,4.45,4.4,2.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.49,60.9,57,1011,5.11,5.07,3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.31,62,59,1012,4.34,4.3,2.68,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.31,61.8,59,1012,4.33,4.31,2.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4,60.5,57,1012,4.76,4.79,2.89,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
