carat,depth,table,price,'x','y','z',cut_Fair,cut_Good,cut_Ideal,cut_Prem,cut_V_good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.51,62.1,56,1071,5.15,5.06,3.17,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.32,60.7,57,490,4.45,4.41,2.69,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.52,60.8,60,1037,5.2,5.17,3.15,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.75,64,59,1013,5.78,5.62,3.66,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.7,63.9,60,1040,5.65,5.52,3.58,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.7,63,61,1040,5.69,5.55,3.54,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.7,67.5,55,1069,5.59,5.37,3.71,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.7,62.5,59,1069,5.65,5.48,3.48,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.7,60.4,58,1069,5.74,5.68,3.45,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.57,59.5,57,1019,5.46,5.42,3.24,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.5,62.2,59,1020,5.07,5.03,3.14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.7,61.5,63,1047,5.73,5.65,3.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.73,70.8,55,1049,5.51,5.34,3.84,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.7,66.3,63,1014,5.58,5.43,3.66,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.7,64.7,59,1066,5.59,5.5,3.59,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.31,64.2,60,1052,4.28,4.22,2.73,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.36,57.7,54,1053,4.74,4.79,2.75,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,62.9,54,1018,4.37,4.41,2.76,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,62.3,54,1018,4.38,4.41,2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,62.3,53,1018,4.39,4.41,2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,61.9,55,1018,4.38,4.41,2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,61.9,55,1046,4.38,4.41,2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,61.9,56,1060,4.35,4.37,2.7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,61.1,56,1018,4.42,4.48,2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,61.1,58,1018,4.42,4.45,2.71,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.1,57,1013,4.31,4.33,2.64,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.33,60.8,57,1079,4.44,4.47,2.71,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,60.7,56,1051,4.36,4.4,2.66,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.9,58,1026,4.26,4.3,2.65,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,61,59,1060,4.36,4.39,2.67,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61,59,1026,4.29,4.33,2.63,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.32,61.4,55,1018,4.43,4.46,2.73,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3,60.1,60,1026,4.3,4.32,2.59,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.36,59.5,57,1053,4.68,4.73,2.8,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.35,57.9,56,1025,4.71,4.75,2.74,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.36,62.5,54,1056,4.54,4.58,2.85,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.32,62.2,55,1010,4.38,4.4,2.73,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
